"x"
"Serviços"
"Redes Sociais (Topo) 6.2"
"Serviços"
"
						1ª Brigada de Infantaria de Selva cria ala de atendimento para pacientes com COVID-19 no Posto Médico da Guarnição
					"
"
						Militares de Saúde de várias guarnições do país reforçam Hospital Central do Exército no apoio de saúde contra a COVID-19
					"
"
						Desinfecção das instalações do Aeroporto  Presidente João Suassuna em Campina Grande (PB)
					"
"
						Módulos do H Cmp permitem atender mais pacientes com a COVID-19 e realizar mais exames laboratoriais
					"
"
						Militares participam de testagem para COVID-19
					"
"
						Serviço  de Fisioterapia do Hospital Militar de Área de São Paulo implanta atendimento dedicado aos pacientes recuperados da COVID-19
					"
"
						Higienização de instalações do Colégio Militar de Belém
					"
"
						Bateria de Comando da AD/3 realiza higienização de áreas em Cruz Alta (RS)
					"
"
						Militares do Hospital integram missão de combate à COVID-19
					"
"
						7º Depósito de Suprimento continua apoiando o combate à COVID-19
					"
"Assuntos"
"Serviços"
"Redes Sociais"
"Acesso à Informação"
"Serviços"
"Redes Sociais (Topo) 6.2"
"Serviços"
"
						Apoio ao TRE-PB na prevenção à COVID-19 para as eleições 2020
					"
"
						Higienização de áreas e instalações
					"
"
						Arsenal produz e entrega novo lote de Equipamentos de Proteção Individual
					"
"
						Alunos retornam às aulas presenciais no Colégio Militar de Fortaleza
					"
"
						Desinfecção das instalações do aeroporto de Maceió
					"
"
						Reunião situacional para apresentar as ações desenvolvidas no enfrentamento à crise da COVID-19
					"
"
						Visita de ""acompanhamento da pandemia"" de COVID-19 pelo Inspetor de Saúde da 9ª Região Militar
					"
"
						Hospital promove novo treinamento de intubação
					"
"
						Higienização das instalações da Fundação Gaúcha do Trabalho e Ação Social
					"
"
						4ª Região Militar, por intermédio do 1º Batalhão de Defesa Química, Biológica, Radiológica e Nuclear, amplia ação de desinfecção de áreas públicas em Belo Horizonte (MG)
					"
"Assuntos"
"Serviços"
"Redes Sociais"
"Acesso à Informação"
"Serviços"
"Redes Sociais (Topo) 6.2"
"Serviços"
"
						Doação de sangue no Hemocentro Municipal de Pelotas
					"
"
						Comando Conjunto Nordeste completa 180 dias de atuação
					"
"
						Em Roraima, Exército ajuda a realizar o sonho de paciente que se recuperou da COVID-19
					"
"
						Desinfecção de áreas e instalações no Rio de Janeiro (RJ)
					"
"
						Segurança do paciente: missão e compromisso assumidos pelo Hospital Militar de Área de Porto Alegre
					"
"
						Colégio promove Campanha de Doação de Sangue
					"
"
						Descontaminação na Advocacia Geral da União e Procuradoria da União da Paraíba
					"
"
						Descontaminação de instalações do Departamento de Trânsito de Porto Murtinho (MS)
					"
"
						Em Porto Alegre (RS), militar vence a batalha contra a COVID-19, e recebe alta após 28 dias
					"
"
						Doação de sangue junto ao Hemocentro de João Pessoa (PB)
					"
"Assuntos"
"Serviços"
"Redes Sociais"
"Acesso à Informação"
"Serviços"
"Redes Sociais (Topo) 6.2"
"Serviços"
"
						Ação conjunta na Reserva Indígena do Guarita em prevenção à COVID-19
					"
"
						TG participa de campanha de doação de sangue
					"
"
						Banda de Música homenageia profissionais da saúde
					"
"
						Batalhão dos Paraibanos prossegue na Campanha de Doação de Sangue em João Pessoa (PB)
					"
"
						Desinfecção das instalações do Instituto Nacional de Colonização e Reforma Agrária (INCRA) na Paraíba
					"
"
						Destacamento Especializado realiza desinfecções na área da 4ª Região Militar.
					"
"
						Ação de descontaminação nas instalações do Ministério Público do Trabalho em João Pessoa (PB)
					"
"
						Descontaminação nas instalações da FUNAI-DF
					"
"
						Operação COVID-19 em aldeias indígenas do Mato Grosso do Sul
					"
"
						Hospital inaugura Unidade de Internação, com capacidade duplicada
					"
"Assuntos"
"Serviços"
"Redes Sociais"
"Acesso à Informação"
"Serviços"
"Redes Sociais (Topo) 6.2"
"Serviços"
"
						Regimento mobilia Posto de Triagem Sanitária no Fórum da Comarca de Santa Maria
					"
"
						Batalhão Tibúrcio presta apoio à Receita Federal
					"
"
						EsPCEx e Ministério Público realizam campanha de doação de alimentos
					"
"
						Comando Conjunto Oeste coordena ações de combate ao coronavírus em aldeias indígenas de Mato Grosso do Sul
					"
"
						4ª Região Militar realiza a desinfecção do tradicional Mercado Central de Belo Horizonte (MG)
					"
"
						Desinfecção das instalações do Fórum da Justiça do Trabalho em Santa Rita (PB)
					"
"
						Como parte da Operação COVID-19, Grupo presta atendimentos a comunidades indígenas
					"
"
						Desinfecção na APAE
					"
"
						2ª Bia AAAe atua na Operação Fronteira Sul
					"
"
						Descontaminação das instalações Fundação Gaúcha do Trabalho e Ação Social
					"
"Assuntos"
"Serviços"
"Redes Sociais"
"Acesso à Informação"
"Serviços"
"Redes Sociais (Topo) 6.2"
"Serviços"
"
						2ª fase do apoio à ação de combate à fome em João Pessoa (PB)
					"
"
						Comando Conjunto Leste realiza desinfecção do Cristo Redentor, no Rio de Janeiro
					"
"
						Projeto “Notas do Coração” homenageia profissionais de saúde do Hospital Mater Dei, por meio da Banda de Música da 4ª Região Militar
					"
"
						Ação cívico-social em comunidade indígena marca a presença da 1ª Brigada de Infantaria de Selva na fronteira
					"
"
						No combate à COVID-19, Batalhão transporta ""respiradores"" para o Rio de Janeiro (RJ)
					"
"
						Desinfecção das instalações do Tribunal Regional do Trabalho em Campina Grande (PB)
					"
"
						Profissionais da saúde são homenageados pela Banda de Música da 4ª Região Militar
					"
"
						2ª Brigada de Infantaria de Selva executa evacuação aeromédica de criança indígena da etnia Yanomami
					"
"
						Desinfecção das instalações do IBAMA na Paraíba
					"
"
						Instituto de Biologia do Exército faz exames de detecção da COVID-19 na Brigada de Infantaria Pára-quedista
					"
"Assuntos"
"Serviços"
"Redes Sociais"
"Acesso à Informação"
"Serviços"
"Redes Sociais (Topo) 6.2"
"Serviços"
"
						Desinfecção do Aeroporto Internacional de João Pessoa (PB)
					"
"
						Ações de desinfecção no município de Campos dos Goytacazes/RJ
					"
"
						Ação de desinfecção na Base Adminstrativa da Guarnição de Natal
					"
"
						Desinfecções de instalações nos municípios do Rio de Janeiro, Nova Iguaçu e Queimados.
					"
"
						Instituto de Biologia do Exército realiza testes na família militar em Valença (RJ)
					"
"
						Tiro de Guerra participa de campanha de doação de sangue
					"
"
						Comando Conjunto Rio Grande do Norte e Paraíba participa de campanha de doação de sangue
					"
"
						Desinfecção dos terminais rodoviários e pontos de ônibus em São José dos Campos/SP
					"
"
						Comando Conjunto Rio Grande do Norte - Paraíba recebe visita do Comandante de Operações Navais
					"
